parcel_id,development_type_id,land_value,acres,county_id,zone_id,proportion_undevelopable,tax_exempt_status,apn,parcel_id_local,geom_id,imputation_flag,x,y,shape_area,geometry,index_right,id
953,19,0.0,1.41011885258,1,981,0.0,1,002 001700900, ,5014181902635,_,-122.277944737,37.8065474308,5706.55357975,POINT (-122.277944737458 37.8065474307897),0.0,0.0
1914,19,0.0,0.121536867677,1,980,0.0,1,003 007501700, ,9282067995140,_,-122.277976267,37.8072007063,491.842688327,POINT (-122.277976266976 37.8072007063055),0.0,0.0
1924,19,0.0,0.0427470572281,1,980,0.0,1,003 007700902, ,2623052694648,_,-122.277858638,37.8083291506,172.991356014,POINT (-122.27785863822 37.8083291505896),0.0,0.0
1916,19,0.0,0.058876141275,1,980,0.0,1,003 007501900, ,12452072628828,_,-122.277805658,37.8074737697,238.26350108,POINT (-122.277805658248 37.8074737696787),0.0,0.0
1905,19,0.0,0.0746712085446,1,980,0.0,1,003 007500800, ,16734018861278,_,-122.277487907,37.8074549118,302.183927011,POINT (-122.27748790702 37.807454911767),0.0,0.0
1934,19,0.0,0.114748650647,1,980,0.0,1,003 007702300, ,7784908110554,_,-122.278254081,37.8077856732,464.371724357,POINT (-122.278254081459 37.8077856732239),0.0,0.0
1907,19,0.0,0.259352337049,1,980,0.0,1,003 007501000, ,637473702919,_,-122.277125253,37.8072554748,1049.56259871,POINT (-122.277125253123 37.807255474843),0.0,0.0
1769,19,0.0,1.42907068188,1,980,0.0,1,003 005700100, ,3408183128292,_,-122.276271237,37.8092246557,5783.24897967,POINT (-122.276271236912 37.8092246557026),0.0,0.0
949,19,0.0,1.38165881753,1,981,0.0,1,002 001303600, ,1629732672313,_,-122.279231738,37.8044862806,5591.37980231,POINT (-122.279231737601 37.8044862805674),0.0,0.0
1909,19,0.0,0.101010856079,1,980,0.0,1,003 007501200, ,12848592462487,_,-122.277295632,37.8069049821,408.776793032,POINT (-122.277295631862 37.8069049820654),0.0,0.0
951,19,0.0,1.3454231543,1,981,0.0,1,002 001502000, ,10397958517348,_,-122.278374056,37.8058578575,5444.73914621,POINT (-122.278374056236 37.8058578575038),0.0,0.0
1936,19,0.0,0.172088092824,1,980,0.0,1,003 007702500, ,6764814284838,_,-122.278376455,37.8074659911,696.416419326,POINT (-122.27837645543 37.807465991115),0.0,0.0
1925,19,0.0,0.0450092236646,1,980,0.0,1,003 007701002, ,5521350905459,_,-122.277904795,37.8082668575,182.146026879,POINT (-122.27790479514 37.808266857545),0.0,0.0
1913,19,0.0,0.296692852014,1,980,0.0,1,003 007501600, ,394209298450,_,-122.277679614,37.8072051049,1200.6744351,POINT (-122.277679614036 37.8072051048631),0.0,0.0
866,19,0.0,0.334853831528,1,981,0.0,1,001 021700101, ,8473618908729,_,-122.279275686,37.8027607819,1355.10657666,POINT (-122.27927568585 37.8027607818566),0.0,0.0
889,19,0.0,1.37442121283,1,981,0.0,1,001 021901001, ,15367166119013,_,-122.280088062,37.8031121224,5562.09022935,POINT (-122.280088061591 37.8031121224421),0.0,0.0
1912,19,0.0,0.00160709218055,1,980,0.0,1,003 007501500, ,15683304456987,_,-122.277550438,37.8072471518,6.50367706178,POINT (-122.277550437584 37.8072471517874),0.0,0.0
952,19,0.0,1.37255103605,1,981,0.0,1,002 001502100, ,6927823513979,_,-122.278801042,37.8051757297,5554.52188575,POINT (-122.278801041593 37.8051757297156),0.0,0.0
1927,19,0.0,0.0992859200205,1,980,0.0,1,003 007701102, ,9634365710600,_,-122.277975731,37.8081711223,401.796218294,POINT (-122.277975731076 37.8081711223364),0.0,0.0
1910,19,0.0,0.151516310107,1,980,0.0,1,003 007501300, ,15044946818630,_,-122.277470504,37.8070579388,613.16529472,POINT (-122.277470504247 37.8070579388103),0.0,0.0
1906,19,0.0,0.126074262089,1,980,0.0,1,003 007500900, ,7470628494785,_,-122.277367674,37.807350682,510.204888277,POINT (-122.277367673667 37.807350681964),0.0,0.0
