Cluster ID,index,latitude,longitude,units
0,6,37.80530167,-122.2923737,34
1,9,37.80706024,-122.2793579,48
2,11,37.77022697,-122.2760034,8
3,2221,37.77022697,-122.2760034,40
4,15,37.80322954,-122.2659961,26
5,17,37.80187988,-122.2755508,4
6,4991,37.87597804,-122.0676248,91
7,26,38.02293532,-122.2701891,27
8,28,38.06778051,-122.8040942,6
9,37,37.773536,-122.432243,0
10,43,37.50605011,-122.2104797,12
11,2776,37.36439133,-122.0238419,124
12,50,37.36192904,-121.9093884,13
13,2616,37.36608887,-121.8678894,94
14,53,37.36563049,-121.8681266,0
15,238,37.34095764,-122.0350418,67
16,3778,37.241921,-121.890326,80
17,62,38.10191727,-122.2587051,11
18,68,38.610702,-122.856224,4
19,2575,38.34934138,-122.7290433,24
20,74,38.348552,-122.726242,0
21,2570,38.5275116,-122.781601,65
22,3734,38.535799,-122.788737,48
23,1940,38.53990555,-122.7953873,18
24,78,37.88315964,-122.2959442,4
25,4244,37.82603943,-122.2783169,150
26,2728,37.82373302,-122.2776496,65
27,81,37.82595062,-122.2786789,0
28,84,37.84834671,-122.2784119,0
29,87,37.75748825,-122.1974564,30
30,90,37.75658928,-122.1967039,0
31,95,37.688037,-122.061866,12
32,98,37.60804519,-122.022365,25
33,101,37.80228943,-122.2621458,0
34,103,37.8706643,-122.2982966,0
35,105,37.71398105,-121.7174958,15
36,107,37.55555436,-121.9647747,13
37,119,37.65142441,-121.8840332,16
38,128,37.76488113,-122.1983337,0
39,131,37.63198853,-122.0519714,0
40,133,37.686077,-122.136886,0
41,136,37.87115179,-122.2770093,27
42,926,37.6637764,-122.1077118,35
43,4140,37.66358185,-122.108345,66
44,147,37.97528458,-122.0680313,14
45,151,38.02259064,-121.8920822,7
46,171,37.97854614,-122.0335312,69
47,2099,37.87346649,-122.4647827,11
48,179,37.87973022,-122.5189972,18
49,186,38.5084877,-122.4636536,0
50,6294,37.649357,-122.429901,62
51,197,37.78449631,-122.4134521,17
52,199,37.78559875,-122.4124222,0
53,206,37.47732773,-122.1524823,98
54,210,37.599292,-122.498641,45
55,212,37.48283005,-122.2183762,0
56,214,37.47429276,-122.2262421,7
57,216,37.46889877,-122.1399078,24
58,218,37.37055206,-121.8410416,18
59,225,37.28245544,-121.835701,62
60,233,37.35613632,-122.0309372,15
61,248,37.321807,-122.040069,0
62,251,37.41687012,-121.9039307,77
63,2154,37.41393662,-122.1304703,33
64,257,37.27869034,-121.8676376,36
65,2134,37.32242966,-122.0072937,40
66,4785,37.30395823,-121.8795899,133
67,266,37.30424118,-121.8811493,27
68,407,38.29185104,-122.0116119,33
69,2144,38.27909851,-122.0334167,132
70,546,38.34521484,-122.7062073,101
71,556,38.42512512,-122.7305527,24
72,559,38.40774849,-122.8386571,42
73,564,38.42296198,-122.7280616,28
74,568,38.54999475,-122.8168441,8
75,570,37.25510025,-119.6175232,
76,823,37.78488792,-122.283629,
77,829,37.78247863,-122.2829685,
78,835,37.88315964,-122.2959442,
