county_id,parcel_type,count,buildings,res_units,nonres_sqft,land_value,total_improvement_value,property_value,tax_revenue
0,Comm,2,2.0,0.0,546630.0,0.0,0.0,0.0,0.0
0,No Buildings,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Res,1,2.0,1843.0,0.0,0.0,0.0,0.0,0.0
1,Comm,35198,35198.0,0.0,541770763.0,15111359710.0,33043457009.0,48154816719.0,577857800.628
1,No Buildings,17854,0.0,0.0,0.0,1547042293.0,0.0,1547042293.0,18564507.516
1,Other,3369,3369.0,0.0,0.0,843141470.0,857328908.0,1700470378.0,20405644.536
1,Res,332373,332376.0,568927.0,0.0,37736755132.0,78931459338.0,1.1666821447e+11,1400018573.64
1,Res and Comm,1090,1097.0,13667.0,16273206.0,432176864.0,1142756519.0,1574933383.0,18899200.596
13,Comm,11103,11103.0,0.0,248749632.0,7647685003.0,21373350723.0,29021035726.0,348252428.712
13,No Buildings,25713,0.0,0.0,0.0,3773452893.0,0.0,3773452893.0,45281434.716
13,Other,8492,8492.0,0.0,0.0,2094319327.0,9945747828.0,12040067155.0,144480805.86
13,Res,279456,279457.0,396362.0,0.0,48495472725.0,61223067356.0,1.09718540081e+11,1316622480.97
13,Res and Comm,445,448.0,4146.0,4018086.0,298230010.0,570575380.0,868805390.0,10425664.68
41,Comm,3938,3938.0,0.0,63824311.0,1758024568.0,3405130940.0,5163155508.0,61957866.096
41,No Buildings,5782,0.0,0.0,0.0,162205071.0,0.0,162205071.0,1946460.852
41,Other,1594,1594.0,0.0,0.0,365865162.0,571930639.0,937795801.0,11253549.612
41,Res,85432,85432.0,110981.0,0.0,18353103303.0,19467083687.0,37820186990.0,453842243.88
41,Res and Comm,70,70.0,220.0,771356.0,22089685.0,20509890.0,42599575.0,511194.9
55,Comm,2594,2594.0,0.0,44264971.0,943369036.5,943369036.5,1886738073.0,22640856.876
55,No Buildings,1828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Other,6181,6181.0,0.0,0.0,1088685271.0,1088685271.0,2177370542.0,26128446.504
55,Res,38104,38104.0,50650.0,0.0,3259993691.0,3259993691.0,6519987382.0,78239848.584
55,Res and Comm,346,346.0,4234.0,9352781.0,100927631.0,100927631.0,201855262.0,2422263.144
75,Comm,10502,10502.0,0.0,349284872.0,15299857894.0,21940041193.0,37239899087.0,446878789.044
75,No Buildings,3428,0.0,0.0,0.0,490649852.0,0.0,490649852.0,5887798.224
75,Other,1093,1093.0,0.0,0.0,391368437.0,281729241.0,673097678.0,8077172.136
75,Res,130817,130821.0,305347.0,0.0,43590676369.0,38259938842.0,81850615211.0,982207382.532
75,Res and Comm,7515,7526.0,71310.0,66827706.0,9597665486.0,12144273444.0,21741938930.0,260903267.16
81,Comm,7793,7793.0,0.0,199584131.0,10408254820.0,15423034993.0,25831289813.0,309975477.756
81,No Buildings,14248,0.0,0.0,0.0,1987551122.0,0.0,1987551122.0,23850613.464
81,Other,3034,3034.0,0.0,0.0,1526165688.0,1625433525.0,3151599213.0,37819190.556
81,Res,170196,170197.0,268933.0,0.0,54509256714.0,60336837098.0,1.14846093812e+11,1378153125.74
81,Res and Comm,216,217.0,2033.0,2991049.0,311369259.0,631450307.0,942819566.0,11313834.792
85,Comm,20488,20488.0,0.0,576771456.0,29575209875.6,40522850046.4,70098059922.0,841176719.064
85,No Buildings,15137,0.0,0.0,0.0,2587260675.0,0.0,2587260675.0,31047128.1
85,Other,11588,11588.0,0.0,0.0,2740618007.97,5254967263.03,7995585271.0,95947023.252
85,Res,388471,388474.0,625851.0,0.0,1.04769986138e+11,97277798792.2,2.0204778493e+11,2424573419.16
85,Res and Comm,762,784.0,4102.0,13267574.0,793297884.523,1330053913.48,2123351798.0,25480221.576
95,Comm,3916,3916.0,0.0,87500237.0,1597700888.0,5545807907.0,7143508795.0,85722105.54
95,No Buildings,10669,0.0,0.0,0.0,840291907.0,0.0,840291907.0,10083502.884
95,Other,3208,3208.0,0.0,0.0,641438337.0,927445419.0,1568883756.0,18826605.072
95,Res,120018,120019.0,152240.0,0.0,7504481672.0,20205478197.0,27709959869.0,332519518.428
95,Res and Comm,150,151.0,532.0,1968012.0,38670913.0,185983727.0,224654640.0,2695855.68
97,Comm,10705,10705.0,0.0,121279396.0,4581238118.0,8042015442.0,12623253560.0,151479042.72
97,No Buildings,18260,0.0,0.0,0.0,1406825147.0,0.0,1406825147.0,16881901.764
97,Other,2434,2434.0,0.0,0.0,769779635.0,740334908.0,1510114543.0,18121374.516
97,Res,140184,140184.0,203031.0,0.0,19218964817.0,29507399835.0,48726364652.0,584716375.824
97,Res and Comm,414,414.0,1459.0,2990357.0,108598511.0,219850385.0,328448896.0,3941386.752
