station,alt1,alt2,alt3,alt4,alt5,alt6,x,y
placeholder,0,0,0,0,0,0,-122.0,37.0
Mission Rock,1,0,1,0,0,0,-122.389648946,37.773673677
6th/Brannan,0,1,0,1,0,1,-122.401849454,37.7741419476
Howard,0,1,0,1,0,1,-122.411633937,37.7762549544
Ballpark,1,0,1,0,0,0,-122.392732752,37.7790532341
4th/Brannan,0,1,0,1,0,1,-122.39536519,37.7792782266
Alameda,1,1,1,1,0,1,-122.291522713,37.7801048027
Hyde,0,1,0,1,0,1,-122.415320231,37.7807457703
Fillmore,1,1,1,1,0,1,-122.433080914,37.7846039182
3rd St Mission,1,0,1,0,0,0,-122.400657,37.7849873731
Van Ness,1,1,1,1,0,1,-122.421646605,37.7855236991
Union Square,1,0,1,0,0,0,-122.409733628,37.7872770098
Transbay Transit Center,0,0,0,0,1,1,-122.397182017,37.7891201188
Eastlake,0,1,1,0,0,1,-122.255850078,37.7944231238
Jack London Square,1,0,0,1,0,0,-122.275174114,37.7951517078
Howard Terminal,0,1,1,0,0,1,-122.282371706,37.7971106983
11th Street,0,1,1,0,0,1,-122.271412481,37.801818998
15th/Franklin,1,0,0,1,0,0,-122.269299576,37.8050767312
14th Street (Oakland),0,1,1,0,1,1,-122.277152197,37.8068638055
Existing Emeryville Station,0,0,0,0,1,1,-122.292075032,37.8401614274
Berkeley,0,0,0,0,1,1,-122.300859,37.867228
Richmond,0,0,0,0,1,1,-122.353872,37.936815
