station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
6th/Brannan,4.0,-122.401849454,37.7741419476,2582.0,1400.0,12041.0,38000.0,1695.0,8862448.0
Howard,4.0,-122.411633937,37.7762549544,9699.0,5447.0,14800.0,26100.0,6511.0,13138605.0
4th/Brannan,4.0,-122.39536519,37.7792782266,8065.0,4488.0,15912.0,47000.0,5623.0,13616294.0
Alameda,4.0,-122.291522713,37.7801048027,2174.0,793.0,638.0,41600.0,943.0,433227.0
Hyde,4.0,-122.415320231,37.7807457703,20708.0,12293.0,32461.0,18900.0,13620.0,18867813.0
Fillmore,4.0,-122.433080914,37.7846039182,13933.0,7917.0,9092.0,41000.0,8517.0,6822486.0
Van Ness,4.0,-122.421646605,37.7855236991,15322.0,9649.0,12624.0,37900.0,10680.0,9520507.0
Jack London Square,4.0,-122.275174114,37.7951517078,2874.0,1448.0,6475.0,31500.0,1681.0,4487457.0
15th/Franklin,4.0,-122.269299576,37.8050767312,7970.0,4855.0,41167.0,19200.0,5437.0,22957830.0
