station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
6th/Brannan,4.0,-122.401849454,37.7741419476,7141.0,2741.0,14273.0,61600.0,2786.0,5078348.04601
Howard,4.0,-122.411633937,37.7762549544,28205.0,11312.0,18871.0,50100.0,11127.0,7160546.25589
4th/Brannan,4.0,-122.39536519,37.7792782266,16770.0,6490.0,20630.0,69000.0,6838.0,7062581.0
Alameda,4.0,-122.291522713,37.7801048027,10262.0,3901.0,309.0,50540.0,4028.0,101903.0
Hyde,4.0,-122.415320231,37.7807457703,35304.0,14522.0,40677.0,50000.0,14714.0,13686953.5854
Fillmore,4.0,-122.433080914,37.7846039182,19952.0,9237.0,10111.0,35000.0,9161.0,4488386.66963
Van Ness,4.0,-122.421646605,37.7855236991,28296.0,10920.0,16107.0,60800.0,11236.0,6907377.3173
Jack London Square,4.0,-122.275174114,37.7951517078,8860.0,3451.0,8660.0,47000.0,3607.0,3911907.20068
15th/Franklin,4.0,-122.269299576,37.8050767312,20887.0,9113.0,65592.0,27400.0,9356.0,22920685.1965
