station,alternative,x,y,population,households,jobs,income_median,res_units,nonres_sqft
placeholder,1.0,-122.0,37.0,0.0,0.0,0.0,,0.0,0.0
Mission Rock,3.0,-122.389648946,37.773673677,12814.0,4840.0,25358.0,44950.0,5190.0,6307251.0
Ballpark,3.0,-122.392732752,37.7790532341,11763.0,4459.0,16391.0,66800.0,4839.0,5909423.0
Alameda,3.0,-122.294181113,37.7805728641,11984.0,4675.0,134.0,40000.0,4959.0,122826.0
Fillmore,3.0,-122.433080914,37.7846039182,19436.0,8798.0,10270.0,35200.0,8804.0,4569380.55492
3rd St Mission,3.0,-122.400657,37.7849873731,16118.0,6546.0,105284.0,46400.0,7184.0,35193810.0
Van Ness,3.0,-122.421646605,37.7855236991,30461.0,11799.0,17649.0,61500.0,12367.0,7759463.38418
Union Square,3.0,-122.409733628,37.7872770098,45825.0,18500.0,42687.0,53000.0,19388.0,26270806.0
Eastlake,3.0,-122.255850078,37.7944231238,10059.0,3906.0,3738.0,49430.0,4125.0,1891633.0
Howard Terminal,3.0,-122.282371706,37.7971106983,745.0,337.0,6947.0,35100.0,350.0,3279100.0
11th Street,3.0,-122.271412481,37.801818998,10032.0,4169.0,35447.0,48000.0,4424.0,13160797.0
14th Street,3.0,-122.277152197,37.8068638055,7441.0,3548.0,24628.0,25950.0,3743.0,8445909.0
